Excuting the command -> systemctl stop GoCommodities.

 14.51MB euphoria_linux_amd64
 13.86MB store_linux_amd64
 6.822MB gdb
 6.269MB ctest3
 5.487MB cpack3
 5.354MB ld.gold
 5.319MB cmake3
 4.961MB ccmake3
 3.178MB dwp
 2.294MB vim
  1.55MB systemd-analyze
 1.524MB git-receive-pack
 1.524MB git-upload-archive
 1.524MB git
 1.063MB grub2-fstest
 1.026MB grub2-mkrescue
 1.006MB ld.bfd
 964.6kB bash
 910.2kB vi
 842.9kB grub2-render-label
 833.9kB grub2-file
 810.4kB git-upload-pack
 778.7kB ssh
 769.7kB grub2-syslinux2cfg
   750kB gpg2
 745.7kB nmcli
 735.3kB git-shell
 717.7kB systemctl
 650.3kB strace
 559.1kB systemd-nspawn
 555.2kB openssl
 550.9kB journalctl
 546.8kB machinectl
 538.9kB grub2-mkstandalone
 525.3kB troff
   518kB readelf
 514.2kB dgawk
 501.4kB loginctl
 495.8kB rsync
 445.2kB ssh-keyscan
   436kB grub2-mknetdir
 428.7kB pgawk
 428.6kB gawk
 424.3kB udevadm
 422.4kB checkpolicy
 419.2kB ssh-keygen
 418.8kB wget
 412.9kB busctl
 410.1kB checkmodule
 404.6kB tcsh
 401.4kB grub2-editenv
 396.4kB systemd-run
 392.9kB mailx
 384.1kB grub2-mkimage
 382.2kB ssh-agent
 378.1kB as
 366.3kB objdump
 360.9kB ssh-add
 353.7kB gpgv2
 346.1kB tar
 339.6kB localedef
 338.2kB timedatectl
 334.2kB systemd-cgls
 334.1kB localectl
 331.9kB spax
 325.8kB hostnamectl
 313.3kB systemd-inhibit
 313.2kB systemd-stdio-bridge
 298.4kB grub2-script-check
 296.7kB gpg-agent
 290.4kB grub2-mkfont
 273.7kB grub2-mkpasswd-pbkdf2
 271.8kB xgettext
 271.6kB info
 270.1kB qemu-ga
 267.1kB grub2-mklayout
 265.6kB nmtui
 260.9kB grub2-glue-efi
 260.6kB grub2-mkrelpath
 255.4kB sedismod
 247.5kB cvtsudoers
 243.5kB grub2-menulst2cfg
 232.9kB objcopy
 232.9kB strip
 223.7kB eu-readelf
 223.3kB dbus-daemon
 215.8kB zip
   208kB staprun
 205.9kB nano
 200.1kB diff
   200kB stapdyn
 199.3kB find
   192kB post-grohtml
 190.9kB oldfind
 185.5kB zipinfo
 185.5kB unzip
 184.7kB pic
 183.4kB trust
 182.8kB make
 180.6kB sedispol
 172.6kB sadf
 172.1kB signtool
 171.6kB certutil
   159kB grep
 158.3kB coredumpctl
 158.2kB less
 157.4kB modutil
 156.7kB curl
 156.4kB gpg-connect-agent
 155.3kB cp
 155.1kB netstat
 154.8kB m4
 154.7kB teamd
 150.6kB patch
 149.8kB systemd-tmpfiles
 147.9kB eqn
 147.4kB sudo
 146.7kB kmod
   146kB cpio
 145.4kB sftp
 144.2kB grops
 143.7kB gpgconf
 143.1kB install
 130.4kB mv
 129.5kB dig
 125.2kB mandb
 124.4kB lz4
 124.4kB lz4c
 121.9kB luac
 118.7kB tbl
 117.8kB sort
 117.7kB crlutil
 117.7kB vdir
 117.7kB dir
 117.7kB ls
 117.3kB nslookup
 115.4kB firewall-cmd
 113.3kB host
 113.2kB loadkeys
   113kB du
   113kB ssltap
 111.5kB eu-elflint
 111.3kB turbostat
 108.4kB simc_lsmplugin
 107.9kB a2p
 106.9kB top
 104.9kB cmsutil
 104.1kB systemd-firstboot
 103.3kB firewall-offline-cmd
 103.2kB rpcgen
 102.8kB man
 102.6kB lsusb
   101kB grotty
 100.9kB df
 100.9kB pinfo
 100.8kB gprof
 100.8kB gzip
 100.5kB zipcloak
 100.2kB ps
 100.1kB zipsplit
 97.74kB sar
 96.76kB dbus-binding-tool
 96.73kB signver
 95.98kB zipnote
 95.61kB factor
 94.74kB sg_logs
 93.22kB pk12util
 91.41kB scp
 90.74kB unzipsfx
 88.31kB pre-grohtml
 87.48kB systemd-hwdb
 87.26kB systemd-cgtop
 87.13kB lexgrog
  87.1kB chronyc
 86.87kB systemd-tty-ask-password-agent
 85.78kB sg_inq
 85.31kB quota
 83.58kB groff
 83.42kB bc
  81.1kB lsblk
 79.86kB mkdir
  79.6kB sg_vpd
 79.44kB dumpkeys
 78.98kB msgfmt
 78.78kB systemd-delta
 78.27kB gpasswd
 77.58kB btt
 76.42kB desktop-file-install
 76.02kB sed
 75.28kB xz
 75.25kB gio
 74.96kB stat
 74.95kB dd
 74.88kB bootctl
 73.29kB rhash
 72.54kB quotasync
 71.22kB split
 70.59kB pidstat
 70.34kB stty
 69.69kB iconv
 69.25kB sg_ses
 67.99kB cpupower
 67.42kB sginfo
 67.26kB mknod
  66.9kB tail
 66.75kB pr
 66.72kB ptx
  66.5kB stdbuf
 66.47kB od
 66.34kB numfmt
 66.18kB ping
 65.99kB db_dump185
  65.8kB tic
 64.33kB chage
  64.1kB desktop-file-validate
 63.41kB xmllint
 63.34kB traceroute
 63.14kB mkfifo
 63.02kB chcon
 62.95kB rm
  62.9kB chown
 62.85kB chgrp
 62.75kB realpath
 62.74kB ranlib
 62.74kB ar
 62.57kB touch
 62.48kB lsipc
 62.39kB nsupdate
 62.37kB xargs
  62.3kB iostat
  62.3kB date
 62.24kB lscpu
 62.07kB diff3
 61.98kB stapbpf
  61.9kB systemd-ask-password
 59.82kB findmnt
 58.69kB ln
 58.66kB chmod
 58.37kB reporter-mantisbt
 57.83kB lsscsi
 57.66kB crontab
 57.54kB sudoreplay
 57.42kB infocmp
 57.01kB repoquery
 56.99kB dracut
 56.24kB sqlite3
 54.67kB timeout
 54.38kB reporter-rhtsupport
 54.37kB hunspell
 54.26kB shred
 54.22kB lslogins
 54.16kB cat
 54.08kB update-mime-database
 54.04kB eu-strip
 54.03kB truncate
  53.9kB tapestat
 53.86kB mpstat
 53.85kB nfsiostat-sysstat
 53.85kB msgmerge
 53.58kB systemd-machine-id-setup
  53.5kB systemd-path
 53.33kB psed
 53.33kB s2p
 53.05kB at
 50.38kB shuf
 50.37kB pinentry-curses
